"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,003,01,005 ,C,000059,0000000
07,2004,06,1,01,18,003,01,005 ,C,000064,0000000
07,2004,06,1,01,18,003,01,005 ,C,000070,0000000
07,2004,06,1,01,18,003,01,006 ,A,000059,0000000
07,2004,06,1,01,18,003,01,006 ,A,000073,0000000
07,2004,06,1,01,18,003,01,006 ,B,000064,0000000
07,2004,06,1,01,18,003,01,006 ,B,000074,0000000
07,2004,06,1,01,18,003,01,006 ,B,000076,0000000
07,2004,06,1,01,18,003,01,007 ,U,000012,0000000
07,2004,06,1,01,18,003,01,007 ,U,000057,0000000
07,2004,06,1,01,18,003,01,007 ,U,000058,0000000
07,2004,06,1,01,18,003,01,008 ,A,000002,0000000
07,2004,06,1,01,18,003,01,008 ,B,000012,0000000
07,2004,06,1,01,18,003,01,008 ,B,000048,0000004
07,2004,06,1,01,18,003,01,008 ,B,000058,0000000
07,2004,06,1,01,18,003,01,008 ,B,000062,0000000
07,2004,06,1,01,18,004,01,001 ,B,000024,0000001
07,2004,06,1,01,18,004,01,001 ,B,000047,0000000
07,2004,06,1,01,18,004,01,001 ,B,000064,0000000
07,2004,06,1,01,18,004,01,001 ,B,000074,0000000
07,2004,06,1,01,18,005,01,001 ,U,000036,0000000
07,2004,06,1,01,18,005,01,001 ,U,000045,0000000
07,2004,06,1,01,18,006,01,001 ,A,000043,0000126
07,2004,06,1,01,18,006,01,001 ,A,000044,0000000
07,2004,06,1,01,18,006,01,001 ,A,000059,0000000
07,2004,06,1,01,18,006,01,001 ,A,000075,0000000
07,2004,06,1,01,18,006,01,001 ,B,000048,0000002
07,2004,06,1,01,18,006,02,001 ,B,000012,0000000
07,2004,06,1,01,18,006,02,001 ,B,000062,0000000
07,2004,06,1,01,18,003,01,005 ,A,000075,0000000
07,2004,06,1,01,18,003,01,005 ,B,000064,0000000
07,2004,06,1,01,18,003,01,005 ,C,000041,0000000
07,2004,06,1,01,18,003,01,005 ,C,000046,0000000
07,2004,06,1,01,18,003,01,005 ,C,000068,0000000
07,2004,06,1,01,18,003,01,005 ,C,000074,0000000
07,2004,06,1,01,18,003,01,006 ,A,000044,0000000
07,2004,06,1,01,18,003,01,006 ,A,000070,0000000
07,2004,06,1,01,18,003,01,006 ,A,000076,0000000
07,2004,06,1,01,18,003,01,006 ,B,000041,0000000
07,2004,06,1,01,18,003,01,006 ,B,000047,0000000
07,2004,06,1,01,18,003,01,006 ,B,000057,0000000
07,2004,06,1,01,18,003,01,006 ,B,000060,0000000
07,2004,06,1,01,18,003,01,006 ,B,000069,0000000
07,2004,06,1,01,18,003,01,006 ,B,000070,0000002
07,2004,06,1,01,18,003,01,007 ,U,000013,0000000
07,2004,06,1,01,18,003,01,007 ,U,000069,0000000
07,2004,06,1,01,18,003,01,008 ,A,000045,0000000
07,2004,06,1,01,18,004,01,001 ,A,000074,0000000
07,2004,06,1,01,18,004,01,001 ,B,000059,0000000
07,2004,06,1,01,18,004,01,001 ,B,000062,0000000
07,2004,06,1,01,18,004,01,001 ,B,000069,0000000
07,2004,06,1,01,18,004,01,001 ,B,000072,0000000
07,2004,06,1,01,18,005,01,001 ,U,000056,0000000
07,2004,06,1,01,18,005,01,001 ,U,000073,0000000
07,2004,06,1,01,18,006,01,001 ,A,000013,0000000
07,2004,06,1,01,18,006,01,001 ,A,000056,0000000
07,2004,06,1,01,18,006,01,001 ,B,000042,0000169
07,2004,06,1,01,18,006,01,002 ,U,000056,0000000
07,2004,06,1,01,18,006,01,002 ,U,000058,0000001
07,2004,06,1,01,18,006,01,002 ,U,000070,0000000
07,2004,06,1,01,18,006,01,002 ,U,000073,0000000
07,2004,06,1,01,18,006,01,002 ,U,000074,0000000
07,2004,06,1,01,18,006,02,001 ,A,000012,0000000
07,2004,06,1,01,18,006,02,001 ,A,000046,0000000
07,2004,06,1,01,18,006,02,001 ,A,000058,0000000
07,2004,06,1,01,18,006,02,001 ,A,000074,0000000
07,2004,06,1,01,18,006,02,001 ,C,000012,0000000
07,2004,06,1,01,18,006,02,001 ,C,000044,0000000
07,2004,06,1,01,18,006,03,001 ,U,000002,0000002
07,2004,06,1,01,18,006,03,001 ,U,000056,0000000
07,2004,06,1,01,18,006,03,001 ,U,000075,0000000
07,2004,06,1,01,18,007,01,001 ,A,000002,0000000
07,2004,06,1,01,18,007,01,001 ,A,000041,0000000
07,2004,06,1,01,18,007,01,001 ,B,000043,0000049
07,2004,06,1,01,18,011,01,001 ,B,000002,0000000
07,2004,06,1,01,18,011,01,001 ,B,000012,0000000
07,2004,06,1,01,18,011,01,001 ,B,000019,0000002
07,2004,06,1,01,18,011,01,001 ,B,000045,0000000
07,2004,06,1,01,18,001,01,001 ,U,000019,0000000
07,2004,06,1,01,18,001,01,001 ,U,000044,0000000
07,2004,06,1,01,18,002,01,001 ,U,000043,0000123
07,2004,06,1,01,18,002,01,001 ,U,000069,0000000
07,2004,06,1,01,18,003,01,001 ,A,000057,0000000
07,2004,06,1,01,18,003,01,001 ,A,000070,0000000
07,2004,06,1,01,18,003,01,001 ,A,000072,0000000
07,2004,06,1,01,18,003,01,001 ,B,000047,0000000
07,2004,06,1,01,18,003,01,002 ,A,000057,0000000
07,2004,06,1,01,18,003,01,002 ,A,000064,0000000
07,2004,06,1,01,18,003,01,002 ,A,000074,0000000
07,2004,06,1,01,18,003,01,002 ,A,000077,0000000
07,2004,06,1,01,18,003,01,002 ,B,000036,0000000
07,2004,06,1,01,18,003,01,002 ,B,000075,0000000
07,2004,06,1,01,18,003,01,002 ,B,000076,0000000
07,2004,06,1,01,18,003,01,003 ,A,000074,0000000
07,2004,06,1,01,18,003,01,003 ,A,000075,0000000
07,2004,06,1,01,18,003,01,003 ,B,000024,0000013
07,2004,06,1,01,18,003,01,003 ,B,000036,0000000
07,2004,06,1,01,18,003,01,003 ,B,000057,0000000
07,2004,06,1,01,18,003,01,003 ,B,000059,0000000
07,2004,06,1,01,18,003,01,003 ,B,000069,0000000
07,2004,06,1,01,18,003,01,003 ,C,000019,0000000
07,2004,06,1,01,18,003,01,003 ,C,000062,0000000
07,2004,06,1,01,18,003,01,004 ,B,000042,0000120
07,2004,06,1,01,18,003,01,004 ,B,000073,0000001
07,2004,06,1,01,18,003,01,004 ,C,000012,0000000
07,2004,06,1,01,18,003,01,004 ,C,000072,0000000
07,2004,06,1,01,18,003,01,005 ,A,000012,0000001
07,2004,06,1,01,18,001,01,001 ,U,000077,0000000
07,2004,06,1,01,18,003,01,001 ,B,000002,0000000
07,2004,06,1,01,18,003,01,001 ,B,000046,0000000
07,2004,06,1,01,18,003,01,001 ,B,000074,0000000
07,2004,06,1,01,18,003,01,002 ,A,000024,0000010
07,2004,06,1,01,18,003,01,002 ,B,000056,0000000
07,2004,06,1,01,18,003,01,002 ,B,000070,0000000
07,2004,06,1,01,18,006,02,001 ,A,000075,0000000
07,2004,06,1,01,18,006,02,001 ,B,000060,0000000
07,2004,06,1,01,18,006,02,001 ,C,000042,0000091
07,2004,06,1,01,18,006,02,001 ,C,000043,0000077
07,2004,06,1,01,18,006,02,001 ,C,000046,0000000
07,2004,06,1,01,18,006,02,001 ,C,000056,0000000
07,2004,06,1,01,18,006,03,001 ,U,000012,0000000
07,2004,06,1,01,18,007,01,001 ,B,000069,0000000
07,2004,06,1,01,18,007,01,001 ,B,000073,0000001
07,2004,06,1,01,18,007,01,001 ,B,000076,0000000
07,2004,06,1,01,18,010,01,001 ,U,000048,0000006
07,2004,06,1,01,18,010,01,001 ,U,000076,0000000
07,2004,06,1,01,18,011,01,001 ,A,000062,0000000
07,2004,06,1,01,18,011,01,001 ,A,000068,0000000
07,2004,06,1,01,18,011,01,002 ,A,000064,0000000
07,2004,06,1,01,18,011,01,002 ,B,000074,0000000
07,2004,06,1,01,18,011,01,003 ,A,000043,0000091
07,2004,06,1,01,18,011,01,003 ,A,000045,0000000
07,2004,06,1,01,18,011,01,003 ,B,000012,0000000
07,2004,06,1,01,18,012,01,001 ,U,000042,0000320
07,2004,06,1,01,18,012,01,002 ,U,000077,0000000
07,2004,06,1,01,18,012,01,003 ,U,000041,0000000
07,2004,06,1,01,18,012,01,003 ,U,000059,0000000
07,2004,06,1,01,18,012,01,003 ,U,000064,0000000
07,2004,06,1,01,18,012,01,004 ,U,000019,0000000
07,2004,06,1,01,18,012,01,004 ,U,000059,0000000
07,2004,06,1,01,18,013,01,001 ,U,000074,0000000
07,2004,06,1,01,18,013,01,002 ,U,000024,0000005
07,2004,06,1,01,18,013,01,003 ,U,000036,0000000
07,2004,06,1,01,18,013,01,003 ,U,000041,0000000
07,2004,06,1,01,18,013,01,003 ,U,000060,0000000
07,2004,06,1,01,18,013,01,004 ,A,000062,0000000
07,2004,06,1,01,18,013,01,004 ,A,000076,0000000
07,2004,06,1,01,18,013,01,005 ,U,000058,0000000
07,2004,06,1,01,18,013,01,005 ,U,000077,0000000
07,2004,06,1,01,18,014,01,001 ,A,000047,0000000
07,2004,06,1,01,18,014,01,001 ,A,000058,0000000
07,2004,06,1,01,18,014,01,001 ,B,000019,0000001
07,2004,06,1,01,18,014,01,001 ,B,000041,0000000
07,2004,06,1,01,18,014,01,001 ,B,000070,0000000
07,2004,06,1,01,18,014,01,001 ,C,000069,0000000
07,2004,06,1,01,18,014,01,001 ,D,000069,0000000
07,2004,06,1,01,18,014,01,002 ,A,000002,0000000
07,2004,06,1,01,18,014,01,002 ,B,000059,0000000
07,2004,06,1,01,18,014,01,002 ,D,000041,0000001
07,2004,06,1,01,18,015,01,001 ,U,000042,0000155
07,2004,06,1,01,18,015,01,001 ,U,000046,0000000
07,2004,06,1,01,18,016,01,001 ,U,000067,0000000
07,2004,06,1,01,18,016,01,001 ,U,000069,0000001
07,2004,06,1,01,18,017,01,001 ,A,000046,0000000
07,2004,06,1,01,18,003,01,001 ,A,000048,0000000
07,2004,06,1,01,18,003,01,001 ,A,000062,0000000
07,2004,06,1,01,18,003,01,001 ,B,000070,0000000
07,2004,06,1,01,18,003,01,002 ,A,000046,0000000
07,2004,06,1,01,18,003,01,002 ,A,000076,0000000
07,2004,06,1,01,18,003,01,002 ,B,000042,0000148
07,2004,06,1,01,18,003,01,002 ,B,000064,0000000
07,2004,06,1,01,18,003,01,002 ,B,000074,0000000
07,2004,06,1,01,18,003,01,003 ,A,000048,0000004
07,2004,06,1,01,18,003,01,003 ,B,000044,0000000
07,2004,06,1,01,18,003,01,003 ,B,000064,0000000
07,2004,06,1,01,18,003,01,003 ,B,000073,0000000
07,2004,06,1,01,18,003,01,004 ,A,000048,0000003
07,2004,06,1,01,18,003,01,004 ,A,000056,0000000
07,2004,06,1,01,18,003,01,004 ,B,000043,0000090
07,2004,06,1,01,18,003,01,004 ,B,000058,0000000
07,2004,06,1,01,18,003,01,004 ,B,000062,0000000
07,2004,06,1,01,18,003,01,004 ,B,000069,0000000
07,2004,06,1,01,18,003,01,004 ,C,000042,0000177
07,2004,06,1,01,18,003,01,004 ,C,000068,0000000
07,2004,06,1,01,18,003,01,005 ,A,000041,0000000
07,2004,06,1,01,18,003,01,005 ,A,000047,0000000
07,2004,06,1,01,18,003,01,005 ,A,000057,0000000
07,2004,06,1,01,18,003,01,005 ,A,000064,0000000
07,2004,06,1,01,18,003,01,005 ,A,000067,0000001
07,2004,06,1,01,18,003,01,005 ,A,000073,0000000
07,2004,06,1,01,18,003,01,005 ,B,000073,0000000
07,2004,06,1,01,18,003,01,006 ,A,000048,0000007
07,2004,06,1,01,18,003,01,006 ,A,000058,0000000
07,2004,06,1,01,18,003,01,006 ,A,000060,0000000
07,2004,06,1,01,18,003,01,006 ,A,000077,0000003
07,2004,06,1,01,18,003,01,006 ,B,000045,0000000
07,2004,06,1,01,18,003,01,007 ,U,000043,0000156
07,2004,06,1,01,18,003,01,007 ,U,000048,0000010
07,2004,06,1,01,18,003,01,007 ,U,000073,0000000
07,2004,06,1,01,18,003,01,008 ,A,000012,0000000
07,2004,06,1,01,18,003,01,008 ,A,000042,0000152
07,2004,06,1,01,18,003,01,008 ,A,000046,0000000
07,2004,06,1,01,18,003,01,008 ,A,000072,0000000
07,2004,06,1,01,18,004,01,001 ,A,000067,0000000
07,2004,06,1,01,18,001,01,001 ,U,000012,0000000
07,2004,06,1,01,18,001,01,001 ,U,000060,0000000
07,2004,06,1,01,18,001,01,001 ,U,000069,0000000
07,2004,06,1,01,18,003,01,001 ,A,000076,0000000
07,2004,06,1,01,18,003,01,001 ,B,000059,0000000
07,2004,06,1,01,18,003,01,001 ,B,000075,0000000
07,2004,06,1,01,18,003,01,002 ,A,000042,0000112
07,2004,06,1,01,18,003,01,002 ,B,000073,0000000
07,2004,06,1,01,18,003,01,002 ,B,000077,0000000
07,2004,06,1,01,18,003,01,003 ,B,000062,0000000
07,2004,06,1,01,18,003,01,003 ,C,000012,0000001
07,2004,06,1,01,18,003,01,003 ,C,000013,0000000
07,2004,06,1,01,18,003,01,004 ,A,000045,0000000
07,2004,06,1,01,18,003,01,004 ,A,000057,0000000
07,2004,06,1,01,18,003,01,004 ,A,000067,0000000
07,2004,06,1,01,18,003,01,004 ,A,000072,0000000
07,2004,06,1,01,18,003,01,004 ,A,000074,0000000
07,2004,06,1,01,18,003,01,004 ,B,000012,0000000
07,2004,06,1,01,18,003,01,004 ,B,000047,0000000
07,2004,06,1,01,18,003,01,004 ,B,000074,0000000
07,2004,06,1,01,18,003,01,004 ,C,000002,0000000
07,2004,06,1,01,18,003,01,004 ,C,000019,0000000
07,2004,06,1,01,18,003,01,005 ,A,000036,0000000
07,2004,06,1,01,18,003,01,005 ,A,000046,0000000
07,2004,06,1,01,18,003,01,005 ,B,000042,0000135
07,2004,06,1,01,18,003,01,005 ,B,000048,0000003
07,2004,06,1,01,18,003,01,005 ,B,000057,0000000
07,2004,06,1,01,18,003,01,005 ,B,000060,0000000
07,2004,06,1,01,18,003,01,005 ,B,000070,0000000
07,2004,06,1,01,18,003,01,005 ,C,000002,0000000
07,2004,06,1,01,18,003,01,005 ,C,000042,0000187
07,2004,06,1,01,18,003,01,005 ,C,000047,0000000
07,2004,06,1,01,18,003,01,005 ,C,000060,0000000
07,2004,06,1,01,18,003,01,005 ,C,000069,0000000
07,2004,06,1,01,18,003,01,006 ,A,000057,0000000
07,2004,06,1,01,18,003,01,006 ,A,000062,0000000
07,2004,06,1,01,18,003,01,006 ,B,000044,0000000
07,2004,06,1,01,18,003,01,006 ,B,000068,0000000
07,2004,06,1,01,18,003,01,007 ,U,000002,0000001
07,2004,06,1,01,18,003,01,007 ,U,000019,0000001
07,2004,06,1,01,18,003,01,007 ,U,000041,0000000
07,2004,06,1,01,18,003,01,007 ,U,000042,0000181
07,2004,06,1,01,18,003,01,007 ,U,000056,0000000
07,2004,06,1,01,18,003,01,007 ,U,000064,0000000
07,2004,06,1,01,18,003,01,008 ,A,000056,0000000
07,2004,06,1,01,18,003,01,008 ,A,000057,0000000
07,2004,06,1,01,18,003,01,008 ,B,000046,0000000
07,2004,06,1,01,18,001,01,001 ,U,000041,0000000
07,2004,06,1,01,18,007,01,001 ,A,000019,0000001
07,2004,06,1,01,18,007,01,001 ,A,000036,0000000
07,2004,06,1,01,18,007,01,001 ,A,000043,0000044
07,2004,06,1,01,18,007,01,001 ,A,000048,0000009
07,2004,06,1,01,18,007,01,001 ,A,000060,0000000
07,2004,06,1,01,18,007,01,001 ,A,000064,0000000
07,2004,06,1,01,18,007,01,001 ,B,000060,0000000
07,2004,06,1,01,18,010,01,001 ,U,000058,0000000
07,2004,06,1,01,18,010,01,001 ,U,000064,0000000
07,2004,06,1,01,18,010,01,001 ,U,000069,0000000
07,2004,06,1,01,18,010,01,001 ,U,000072,0000000
07,2004,06,1,01,18,010,01,001 ,U,000075,0000000
07,2004,06,1,01,18,011,01,001 ,A,000043,0000086
07,2004,06,1,01,18,011,01,001 ,A,000064,0000000
07,2004,06,1,01,18,011,01,001 ,B,000073,0000000
07,2004,06,1,01,18,011,01,001 ,B,000076,0000000
07,2004,06,1,01,18,011,01,002 ,A,000048,0000000
07,2004,06,1,01,18,011,01,002 ,A,000062,0000000
07,2004,06,1,01,18,011,01,003 ,A,000012,0000000
07,2004,06,1,01,18,011,01,003 ,A,000047,0000000
07,2004,06,1,01,18,011,01,003 ,A,000073,0000000
07,2004,06,1,01,18,011,01,003 ,B,000047,0000000
07,2004,06,1,01,18,012,01,001 ,U,000002,0000000
07,2004,06,1,01,18,012,01,001 ,U,000068,0000000
07,2004,06,1,01,18,012,01,001 ,U,000075,0000000
07,2004,06,1,01,18,012,01,002 ,U,000046,0000000
07,2004,06,1,01,18,012,01,002 ,U,000057,0000000
07,2004,06,1,01,18,012,01,003 ,U,000044,0000000
07,2004,06,1,01,18,012,01,003 ,U,000047,0000000
07,2004,06,1,01,18,012,01,003 ,U,000070,0000000
07,2004,06,1,01,18,012,01,003 ,U,000072,0000000
07,2004,06,1,01,18,012,01,004 ,U,000043,0000080
07,2004,06,1,01,18,012,01,004 ,U,000060,0000000
07,2004,06,1,01,18,012,01,004 ,U,000076,0000000
07,2004,06,1,01,18,012,01,005 ,U,000057,0000000
07,2004,06,1,01,18,012,01,005 ,U,000064,0000000
07,2004,06,1,01,18,013,01,002 ,U,000043,0000181
07,2004,06,1,01,18,013,01,003 ,U,000057,0000000
07,2004,06,1,01,18,013,01,004 ,A,000019,0000001
07,2004,06,1,01,18,013,01,004 ,A,000043,0000093
07,2004,06,1,01,18,013,01,004 ,B,000041,0000000
07,2004,06,1,01,18,013,01,004 ,B,000045,0000000
07,2004,06,1,01,18,013,01,005 ,U,000062,0000000
07,2004,06,1,01,18,013,01,005 ,U,000068,0000000
07,2004,06,1,01,18,013,01,005 ,U,000075,0000000
07,2004,06,1,01,18,014,01,001 ,A,000036,0000000
07,2004,06,1,01,18,014,01,001 ,A,000075,0000000
07,2004,06,1,01,18,014,01,001 ,B,000043,0000086
07,2004,06,1,01,18,014,01,001 ,C,000024,0000004
07,2004,06,1,01,18,014,01,001 ,D,000012,0000000
07,2004,06,1,01,18,021,01,002 ,C,000064,0000000
07,2004,06,1,01,18,021,01,003 ,A,000036,0000001
07,2004,06,1,01,18,021,01,003 ,B,000012,0000000
07,2004,06,1,01,18,021,01,003 ,B,000062,0000000
07,2004,06,1,01,18,021,01,003 ,B,000070,0000000
07,2004,06,1,01,18,021,01,003 ,B,000073,0000000
07,2004,06,1,01,18,021,01,003 ,C,000043,0000113
07,2004,06,1,01,18,021,01,003 ,C,000047,0000000
07,2004,06,1,01,18,021,01,003 ,C,000057,0000000
07,2004,06,1,01,18,021,01,004 ,A,000024,0000005
07,2004,06,1,01,18,021,01,004 ,A,000056,0000000
07,2004,06,1,01,18,021,01,004 ,B,000073,0000000
07,2004,06,1,01,18,021,01,005 ,A,000058,0000000
07,2004,06,1,01,18,021,01,005 ,B,000060,0000000
07,2004,06,1,01,18,021,01,006 ,A,000044,0000000
07,2004,06,1,01,18,021,01,006 ,A,000047,0000000
07,2004,06,1,01,18,021,01,006 ,B,000036,0000000
07,2004,06,1,01,18,021,01,006 ,B,000057,0000000
07,2004,06,1,01,18,021,01,006 ,B,000067,0000000
07,2004,06,1,01,18,021,01,007 ,A,000060,0000000
07,2004,06,1,01,18,021,01,007 ,B,000046,0000000
07,2004,06,1,01,18,021,01,007 ,B,000070,0000000
07,2004,06,1,01,18,021,01,008 ,A,000056,0000000
07,2004,06,1,01,18,021,01,008 ,B,000064,0000000
07,2004,06,1,01,18,021,01,008 ,B,000072,0000000
07,2004,06,1,01,18,021,01,008 ,B,000075,0000000
07,2004,06,1,01,18,021,01,009 ,A,000044,0000000
07,2004,06,1,01,18,021,01,009 ,A,000046,0000000
07,2004,06,1,01,18,021,01,009 ,A,000069,0000000
07,2004,06,1,01,18,021,01,009 ,B,000043,0000059
07,2004,06,1,01,18,021,01,009 ,B,000059,0000000
07,2004,06,1,01,18,021,01,009 ,B,000064,0000001
07,2004,06,1,01,18,021,01,009 ,B,000073,0000000
07,2004,06,1,01,18,022,01,001 ,A,000067,0000000
07,2004,06,1,01,18,022,01,001 ,A,000068,0000000
07,2004,06,1,01,18,022,01,001 ,A,000070,0000000
07,2004,06,1,01,18,022,01,001 ,A,000073,0000000
07,2004,06,1,01,18,022,01,001 ,B,000019,0000000
07,2004,06,1,01,18,022,01,001 ,B,000041,0000000
07,2004,06,1,01,18,022,01,001 ,B,000046,0000000
07,2004,06,1,01,18,022,01,002 ,A,000062,0000000
07,2004,06,1,01,18,022,01,002 ,B,000060,0000000
07,2004,06,1,01,18,022,01,002 ,B,000076,0000000
07,2004,06,1,01,18,022,01,002 ,C,000069,0000001
07,2004,06,1,01,18,022,01,002 ,C,000073,0000000
07,2004,06,1,01,18,022,01,003 ,U,000064,0000000
07,2004,06,1,01,18,022,01,003 ,U,000070,0000000
07,2004,06,1,01,18,022,01,005 ,U,000064,0000000
07,2004,06,1,01,18,022,01,005 ,U,000069,0000000
07,2004,06,1,01,18,022,02,001 ,A,000012,0000000
07,2004,06,1,01,18,010,01,001 ,U,000056,0000000
07,2004,06,1,01,18,011,01,001 ,A,000024,0000008
07,2004,06,1,01,18,011,01,001 ,A,000036,0000000
07,2004,06,1,01,18,011,01,001 ,A,000042,0000104
07,2004,06,1,01,18,011,01,001 ,A,000048,0000001
07,2004,06,1,01,18,011,01,001 ,A,000069,0000000
07,2004,06,1,01,18,011,01,001 ,A,000072,0000000
07,2004,06,1,01,18,011,01,002 ,A,000036,0000000
07,2004,06,1,01,18,011,01,002 ,A,000045,0000000
07,2004,06,1,01,18,011,01,002 ,A,000058,0000000
07,2004,06,1,01,18,011,01,002 ,A,000067,0000000
07,2004,06,1,01,18,011,01,002 ,A,000069,0000000
07,2004,06,1,01,18,011,01,002 ,A,000075,0000000
07,2004,06,1,01,18,011,01,002 ,B,000072,0000000
07,2004,06,1,01,18,011,01,003 ,A,000077,0000001
07,2004,06,1,01,18,011,01,003 ,B,000036,0000000
07,2004,06,1,01,18,011,01,003 ,B,000064,0000000
07,2004,06,1,01,18,012,01,001 ,U,000072,0000000
07,2004,06,1,01,18,012,01,002 ,U,000047,0000000
07,2004,06,1,01,18,012,01,002 ,U,000059,0000000
07,2004,06,1,01,18,012,01,003 ,U,000013,0000000
07,2004,06,1,01,18,012,01,003 ,U,000067,0000000
07,2004,06,1,01,18,012,01,004 ,U,000041,0000000
07,2004,06,1,01,18,012,01,004 ,U,000048,0000012
07,2004,06,1,01,18,012,01,004 ,U,000069,0000000
07,2004,06,1,01,18,012,01,005 ,U,000036,0000000
07,2004,06,1,01,18,012,01,005 ,U,000047,0000000
07,2004,06,1,01,18,013,01,001 ,U,000013,0000000
07,2004,06,1,01,18,013,01,001 ,U,000024,0000007
07,2004,06,1,01,18,013,01,001 ,U,000059,0000000
07,2004,06,1,01,18,013,01,001 ,U,000069,0000000
07,2004,06,1,01,18,013,01,002 ,U,000064,0000000
07,2004,06,1,01,18,013,01,002 ,U,000067,0000000
07,2004,06,1,01,18,013,01,003 ,U,000024,0000015
07,2004,06,1,01,18,013,01,004 ,A,000012,0000000
07,2004,06,1,01,18,013,01,004 ,A,000077,0000000
07,2004,06,1,01,18,013,01,004 ,B,000012,0000000
07,2004,06,1,01,18,013,01,004 ,B,000013,0000000
07,2004,06,1,01,18,013,01,004 ,B,000036,0000000
07,2004,06,1,01,18,013,01,005 ,U,000074,0000000
07,2004,06,1,01,18,014,01,001 ,A,000064,0000000
07,2004,06,1,01,18,014,01,001 ,B,000045,0000000
07,2004,06,1,01,18,014,01,001 ,C,000060,0000000
07,2004,06,1,01,18,014,01,001 ,C,000070,0000000
07,2004,06,1,01,18,014,01,001 ,C,000073,0000000
07,2004,06,1,01,18,014,01,002 ,B,000012,0000000
07,2004,06,1,01,18,014,01,002 ,B,000062,0000000
07,2004,06,1,01,18,014,01,002 ,B,000074,0000000
07,2004,06,1,01,18,014,01,002 ,B,000076,0000000
07,2004,06,1,01,18,014,01,002 ,C,000002,0000000
07,2004,06,1,01,18,003,01,008 ,B,000075,0000000
07,2004,06,1,01,18,004,01,001 ,B,000056,0000000
07,2004,06,1,01,18,005,01,001 ,U,000046,0000000
07,2004,06,1,01,18,005,01,001 ,U,000047,0000000
07,2004,06,1,01,18,006,01,001 ,A,000036,0000000
07,2004,06,1,01,18,006,01,001 ,A,000057,0000000
07,2004,06,1,01,18,006,01,001 ,A,000058,0000000
07,2004,06,1,01,18,006,01,001 ,A,000069,0000000
07,2004,06,1,01,18,006,01,001 ,B,000069,0000000
07,2004,06,1,01,18,006,01,001 ,B,000075,0000000
07,2004,06,1,01,18,006,01,002 ,U,000042,0000156
07,2004,06,1,01,18,006,01,002 ,U,000057,0000000
07,2004,06,1,01,18,006,01,002 ,U,000075,0000000
07,2004,06,1,01,18,006,02,001 ,A,000002,0000000
07,2004,06,1,01,18,006,02,001 ,A,000076,0000000
07,2004,06,1,01,18,006,02,001 ,B,000064,0000000
07,2004,06,1,01,18,006,02,001 ,C,000041,0000000
07,2004,06,1,01,18,006,02,001 ,C,000058,0000000
07,2004,06,1,01,18,006,02,001 ,C,000072,0000000
07,2004,06,1,01,18,006,02,001 ,C,000073,0000000
07,2004,06,1,01,18,006,03,001 ,U,000073,0000000
07,2004,06,1,01,18,006,03,001 ,U,000077,0000000
07,2004,06,1,01,18,007,01,001 ,A,000075,0000000
07,2004,06,1,01,18,007,01,001 ,B,000056,0000000
07,2004,06,1,01,18,007,01,001 ,B,000062,0000000
07,2004,06,1,01,18,010,01,001 ,U,000043,0000058
07,2004,06,1,01,18,010,01,001 ,U,000059,0000000
07,2004,06,1,01,18,010,01,001 ,U,000060,0000000
07,2004,06,1,01,18,010,01,001 ,U,000062,0000000
07,2004,06,1,01,18,011,01,001 ,A,000012,0000000
07,2004,06,1,01,18,011,01,001 ,A,000070,0000003
07,2004,06,1,01,18,011,01,002 ,A,000059,0000000
07,2004,06,1,01,18,011,01,002 ,B,000013,0000000
07,2004,06,1,01,18,011,01,002 ,B,000024,0000021
07,2004,06,1,01,18,011,01,002 ,B,000036,0000000
07,2004,06,1,01,18,011,01,002 ,B,000064,0000000
07,2004,06,1,01,18,011,01,003 ,A,000036,0000000
07,2004,06,1,01,18,011,01,003 ,A,000060,0000000
07,2004,06,1,01,18,011,01,003 ,B,000067,0000000
07,2004,06,1,01,18,011,01,003 ,B,000075,0000000
07,2004,06,1,01,18,012,01,001 ,U,000013,0000000
07,2004,06,1,01,18,012,01,001 ,U,000064,0000000
07,2004,06,1,01,18,012,01,002 ,U,000042,0000214
07,2004,06,1,01,18,012,01,002 ,U,000060,0000000
07,2004,06,1,01,18,012,01,002 ,U,000072,0000000
07,2004,06,1,01,18,012,01,003 ,U,000012,0000000
07,2004,06,1,01,18,012,01,004 ,U,000036,0000000
07,2004,06,1,01,18,012,01,004 ,U,000062,0000000
07,2004,06,1,01,18,012,01,004 ,U,000077,0000001
07,2004,06,1,01,18,012,01,005 ,U,000042,0000125
07,2004,06,1,01,18,001,01,001 ,U,000048,0000003
