"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1999,06,1,01,18,006,02,001 ,A,000127,0000000
07,1999,06,1,01,18,006,02,001 ,B,000127,0000002
07,1999,06,1,01,18,006,02,001 ,B,000152,0000000
07,1999,06,1,01,18,006,02,001 ,B,000158,0000000
07,1999,06,1,01,18,006,02,001 ,C,000043,0000000
07,1999,06,1,01,18,001,01,001 ,U,000019,0000170
07,1999,06,1,01,18,001,01,001 ,U,000130,0000001
07,1999,06,1,01,18,001,01,001 ,U,000154,0000000
07,1999,06,1,01,18,002,01,001 ,U,000156,0000000
07,1999,06,1,01,18,003,01,001 ,A,000121,0000001
07,1999,06,1,01,18,003,01,001 ,A,000129,0000000
07,1999,06,1,01,18,003,01,001 ,A,000151,0000000
07,1999,06,1,01,18,003,01,001 ,B,000127,0000000
07,1999,06,1,01,18,003,01,002 ,A,000136,0000000
07,1999,06,1,01,18,003,01,002 ,B,000014,0000000
07,1999,06,1,01,18,003,01,002 ,B,000019,0000172
07,1999,06,1,01,18,003,01,003 ,A,000043,0000000
07,1999,06,1,01,18,003,01,003 ,A,000144,0000000
07,1999,06,1,01,18,003,01,003 ,B,000128,0000001
07,1999,06,1,01,18,003,01,003 ,C,000125,0000000
07,1999,06,1,01,18,003,01,004 ,A,000150,0000001
07,1999,06,1,01,18,003,01,004 ,B,000130,0000000
07,1999,06,1,01,18,003,01,004 ,C,000032,0000000
07,1999,06,1,01,18,003,01,005 ,A,000125,0000000
07,1999,06,1,01,18,003,01,005 ,A,000127,0000000
07,1999,06,1,01,18,003,01,005 ,A,000855,0000060
07,1999,06,1,01,18,003,01,005 ,B,000129,0000000
07,1999,06,1,01,18,003,01,005 ,B,000151,0000005
07,1999,06,1,01,18,003,01,005 ,B,000154,0000001
07,1999,06,1,01,18,003,01,006 ,A,000001,0000070
07,1999,06,1,01,18,003,01,006 ,A,000019,0000183
07,1999,06,1,01,18,003,01,006 ,A,000158,0000000
07,1999,06,1,01,18,003,01,006 ,B,000004,0000000
07,1999,06,1,01,18,003,01,006 ,B,000043,0000000
07,1999,06,1,01,18,003,01,006 ,B,000152,0000000
07,1999,06,1,01,18,001,01,001 ,U,000038,0000000
07,1999,06,1,01,18,001,01,001 ,U,000136,0000000
07,1999,06,1,01,18,001,01,001 ,U,000149,0000000
07,1999,06,1,01,18,002,01,001 ,U,000125,0000000
07,1999,06,1,01,18,002,01,001 ,U,000151,0000008
07,1999,06,1,01,18,003,01,001 ,A,000116,0000000
07,1999,06,1,01,18,003,01,001 ,A,000158,0000000
07,1999,06,1,01,18,003,01,001 ,B,000027,0000001
07,1999,06,1,01,18,003,01,001 ,B,000116,0000000
07,1999,06,1,01,18,003,01,001 ,B,000125,0000000
07,1999,06,1,01,18,003,01,001 ,B,000129,0000000
07,1999,06,1,01,18,003,01,002 ,A,000007,0000000
07,1999,06,1,01,18,003,01,002 ,A,000038,0000000
07,1999,06,1,01,18,003,01,002 ,B,000127,0000000
07,1999,06,1,01,18,003,01,002 ,B,000135,0000000
07,1999,06,1,01,18,003,01,002 ,B,000150,0000000
07,1999,06,1,01,18,003,01,002 ,B,000153,0000000
07,1999,06,1,01,18,003,01,002 ,B,000157,0000002
07,1999,06,1,01,18,003,01,002 ,C,000120,0000001
07,1999,06,1,01,18,003,01,002 ,C,000132,0000007
07,1999,06,1,01,18,003,01,003 ,A,000004,0000000
07,1999,06,1,01,18,003,01,003 ,A,000123,0000000
07,1999,06,1,01,18,003,01,003 ,A,000145,0000000
07,1999,06,1,01,18,003,01,003 ,B,000151,0000003
07,1999,06,1,01,18,003,01,003 ,C,000130,0000000
07,1999,06,1,01,18,003,01,003 ,C,000144,0000000
07,1999,06,1,01,18,003,01,004 ,A,000027,0000002
07,1999,06,1,01,18,003,01,004 ,A,000038,0000001
07,1999,06,1,01,18,011,01,001 ,C,000043,0000000
07,1999,06,1,01,18,011,01,001 ,C,000151,0000005
07,1999,06,1,01,18,011,01,002 ,A,000015,0000000
07,1999,06,1,01,18,011,01,002 ,B,000144,0000000
07,1999,06,1,01,18,012,01,001 ,U,000001,0000354
07,1999,06,1,01,18,012,01,001 ,U,000128,0000000
07,1999,06,1,01,18,012,01,001 ,U,000135,0000000
07,1999,06,1,01,18,012,01,002 ,U,000132,0000008
07,1999,06,1,01,18,012,01,002 ,U,000145,0000000
07,1999,06,1,01,18,012,01,002 ,U,000152,0000000
07,1999,06,1,01,18,012,01,003 ,U,000145,0000000
07,1999,06,1,01,18,012,01,003 ,U,000149,0000000
07,1999,06,1,01,18,012,01,004 ,A,000027,0000000
07,1999,06,1,01,18,012,01,004 ,A,000032,0000000
07,1999,06,1,01,18,012,01,004 ,A,000125,0000000
07,1999,06,1,01,18,012,01,004 ,A,000144,0000000
07,1999,06,1,01,18,012,01,004 ,A,000156,0000000
07,1999,06,1,01,18,012,01,004 ,B,000019,0000034
07,1999,06,1,01,18,012,01,004 ,B,000038,0000000
07,1999,06,1,01,18,012,01,004 ,B,000132,0000001
07,1999,06,1,01,18,012,01,004 ,B,000149,0000000
07,1999,06,1,01,18,012,01,005 ,A,000001,0000081
07,1999,06,1,01,18,013,01,001 ,U,000128,0000000
07,1999,06,1,01,18,013,01,002 ,U,000136,0000000
07,1999,06,1,01,18,013,01,003 ,U,000007,0000000
07,1999,06,1,01,18,013,01,003 ,U,000038,0000001
07,1999,06,1,01,18,013,01,004 ,B,000008,0000000
07,1999,06,1,01,18,014,01,001 ,A,000004,0000001
07,1999,06,1,01,18,014,01,001 ,A,000008,0000000
07,1999,06,1,01,18,014,01,001 ,A,000121,0000000
07,1999,06,1,01,18,014,01,001 ,A,000127,0000000
07,1999,06,1,01,18,014,01,001 ,A,000135,0000000
07,1999,06,1,01,18,014,01,001 ,B,000120,0000000
07,1999,06,1,01,18,014,01,001 ,C,000004,0000000
07,1999,06,1,01,18,014,01,001 ,C,000121,0000000
07,1999,06,1,01,18,014,01,002 ,A,000038,0000000
07,1999,06,1,01,18,014,01,002 ,A,000151,0000007
07,1999,06,1,01,18,014,01,002 ,B,000007,0000000
07,1999,06,1,01,18,014,01,002 ,B,000027,0000000
07,1999,06,1,01,18,014,01,002 ,B,000154,0000000
07,1999,06,1,01,18,014,01,002 ,C,000121,0000001
07,1999,06,1,01,18,014,01,002 ,C,000157,0000001
07,1999,06,1,01,18,015,01,001 ,U,000014,0000000
07,1999,06,1,01,18,015,01,001 ,U,000129,0000000
07,1999,06,1,01,18,015,01,001 ,U,000855,0000071
07,1999,06,1,01,18,016,01,001 ,U,000038,0000000
07,1999,06,1,01,18,016,01,001 ,U,000154,0000000
07,1999,06,1,01,18,016,01,001 ,U,000157,0000000
07,1999,06,1,01,18,017,01,001 ,A,000032,0000000
07,1999,06,1,01,18,006,02,001 ,C,000152,0000000
07,1999,06,1,01,18,006,02,001 ,C,000154,0000000
07,1999,06,1,01,18,006,02,001 ,C,000158,0000000
07,1999,06,1,01,18,006,03,001 ,U,000120,0000000
07,1999,06,1,01,18,006,03,001 ,U,000128,0000000
07,1999,06,1,01,18,006,03,001 ,U,000152,0000000
07,1999,06,1,01,18,006,03,001 ,U,000855,0000035
07,1999,06,1,01,18,007,01,001 ,A,000015,0000000
07,1999,06,1,01,18,007,01,001 ,A,000125,0000000
07,1999,06,1,01,18,007,01,001 ,B,000015,0000000
07,1999,06,1,01,18,007,01,001 ,B,000121,0000000
07,1999,06,1,01,18,007,01,001 ,B,000125,0000000
07,1999,06,1,01,18,007,01,001 ,B,000152,0000000
07,1999,06,1,01,18,011,01,001 ,A,000001,0000170
07,1999,06,1,01,18,011,01,001 ,A,000007,0000001
07,1999,06,1,01,18,011,01,001 ,A,000157,0000001
07,1999,06,1,01,18,011,01,001 ,A,000158,0000000
07,1999,06,1,01,18,011,01,001 ,B,000008,0000000
07,1999,06,1,01,18,011,01,001 ,B,000129,0000000
07,1999,06,1,01,18,011,01,001 ,B,000158,0000000
07,1999,06,1,01,18,011,01,001 ,C,000008,0000000
07,1999,06,1,01,18,011,01,001 ,C,000855,0000033
07,1999,06,1,01,18,011,01,002 ,A,000132,0000020
07,1999,06,1,01,18,011,01,002 ,B,000001,0000145
07,1999,06,1,01,18,011,01,002 ,B,000855,0000061
07,1999,06,1,01,18,012,01,001 ,U,000027,0000000
07,1999,06,1,01,18,012,01,001 ,U,000032,0000001
07,1999,06,1,01,18,012,01,001 ,U,000123,0000000
07,1999,06,1,01,18,012,01,001 ,U,000130,0000000
07,1999,06,1,01,18,012,01,001 ,U,000153,0000000
07,1999,06,1,01,18,012,01,002 ,U,000001,0000266
07,1999,06,1,01,18,012,01,002 ,U,000007,0000000
07,1999,06,1,01,18,012,01,002 ,U,000043,0000000
07,1999,06,1,01,18,012,01,002 ,U,000151,0000005
07,1999,06,1,01,18,012,01,003 ,U,000001,0000212
07,1999,06,1,01,18,012,01,003 ,U,000043,0000000
07,1999,06,1,01,18,012,01,004 ,A,000151,0000001
07,1999,06,1,01,18,012,01,004 ,B,000121,0000000
07,1999,06,1,01,18,012,01,004 ,B,000130,0000000
07,1999,06,1,01,18,012,01,004 ,B,000135,0000000
07,1999,06,1,01,18,012,01,005 ,B,000158,0000000
07,1999,06,1,01,18,013,01,001 ,U,000008,0000000
07,1999,06,1,01,18,013,01,001 ,U,000132,0000046
07,1999,06,1,01,18,013,01,001 ,U,000149,0000000
07,1999,06,1,01,18,013,01,001 ,U,000150,0000000
07,1999,06,1,01,18,013,01,001 ,U,000152,0000000
07,1999,06,1,01,18,013,01,002 ,U,000121,0000000
07,1999,06,1,01,18,013,01,002 ,U,000151,0000000
07,1999,06,1,01,18,013,01,004 ,A,000015,0000000
07,1999,06,1,01,18,001,01,001 ,U,000132,0000009
07,1999,06,1,01,18,001,01,001 ,U,000855,0000008
07,1999,06,1,01,18,002,01,001 ,U,000121,0000000
07,1999,06,1,01,18,002,01,001 ,U,000145,0000000
07,1999,06,1,01,18,002,01,001 ,U,000153,0000002
07,1999,06,1,01,18,003,01,001 ,A,000001,0000135
07,1999,06,1,01,18,003,01,001 ,A,000004,0000000
07,1999,06,1,01,18,003,01,001 ,B,000123,0000000
07,1999,06,1,01,18,003,01,002 ,A,000043,0000000
07,1999,06,1,01,18,003,01,002 ,A,000157,0000000
07,1999,06,1,01,18,003,01,002 ,B,000001,0000089
07,1999,06,1,01,18,003,01,002 ,B,000007,0000001
07,1999,06,1,01,18,003,01,002 ,B,000125,0000000
07,1999,06,1,01,18,003,01,002 ,C,000015,0000000
07,1999,06,1,01,18,003,01,002 ,C,000135,0000000
07,1999,06,1,01,18,003,01,003 ,A,000130,0000000
07,1999,06,1,01,18,003,01,003 ,C,000001,0000107
07,1999,06,1,01,18,003,01,004 ,A,000019,0000198
07,1999,06,1,01,18,003,01,004 ,A,000145,0000001
07,1999,06,1,01,18,004,01,001 ,A,000015,0000000
07,1999,06,1,01,18,004,01,001 ,A,000120,0000000
07,1999,06,1,01,18,004,01,001 ,B,000123,0000000
07,1999,06,1,01,18,004,01,001 ,B,000157,0000002
07,1999,06,1,01,18,005,01,001 ,U,000032,0000000
07,1999,06,1,01,18,006,01,001 ,A,000157,0000000
07,1999,06,1,01,18,006,01,001 ,B,000008,0000000
07,1999,06,1,01,18,006,01,001 ,B,000014,0000000
07,1999,06,1,01,18,006,01,002 ,U,000015,0000000
07,1999,06,1,01,18,006,01,002 ,U,000135,0000000
07,1999,06,1,01,18,006,01,002 ,U,000150,0000000
07,1999,06,1,01,18,006,01,002 ,U,000157,0000000
07,1999,06,1,01,18,006,01,002 ,U,000855,0000042
07,1999,06,1,01,18,006,02,001 ,A,000001,0000157
07,1999,06,1,01,18,006,02,001 ,A,000027,0000003
07,1999,06,1,01,18,006,02,001 ,B,000123,0000000
07,1999,06,1,01,18,006,02,001 ,B,000125,0000000
07,1999,06,1,01,18,006,02,001 ,C,000129,0000000
07,1999,06,1,01,18,006,02,001 ,C,000156,0000000
07,1999,06,1,01,18,006,03,001 ,U,000014,0000000
07,1999,06,1,01,18,007,01,001 ,B,000014,0000000
07,1999,06,1,01,18,007,01,001 ,B,000027,0000000
07,1999,06,1,01,18,010,01,001 ,U,000001,0000082
07,1999,06,1,01,18,011,01,001 ,A,000027,0000000
07,1999,06,1,01,18,011,01,001 ,B,000043,0000001
07,1999,06,1,01,18,011,01,001 ,B,000135,0000000
07,1999,06,1,01,18,011,01,001 ,B,000156,0000000
07,1999,06,1,01,18,011,01,001 ,C,000123,0000000
07,1999,06,1,01,18,011,01,001 ,C,000132,0000038
07,1999,06,1,01,18,011,01,002 ,A,000004,0000000
07,1999,06,1,01,18,011,01,002 ,A,000116,0000000
07,1999,06,1,01,18,011,01,002 ,A,000152,0000000
07,1999,06,1,01,18,011,01,002 ,A,000154,0000000
07,1999,06,1,01,18,011,01,002 ,A,000156,0000000
07,1999,06,1,01,18,011,01,002 ,B,000127,0000001
07,1999,06,1,01,18,011,01,002 ,B,000132,0000047
07,1999,06,1,01,18,012,01,001 ,U,000038,0000000
07,1999,06,1,01,18,012,01,001 ,U,000129,0000000
07,1999,06,1,01,18,012,01,001 ,U,000156,0000002
07,1999,06,1,01,18,012,01,002 ,U,000125,0000000
07,1999,06,1,01,18,012,01,002 ,U,000128,0000000
07,1999,06,1,01,18,012,01,002 ,U,000130,0000000
07,1999,06,1,01,18,012,01,002 ,U,000135,0000000
07,1999,06,1,01,18,012,01,004 ,A,000019,0000161
07,1999,06,1,01,18,012,01,004 ,A,000038,0000000
07,1999,06,1,01,18,012,01,004 ,A,000043,0000001
07,1999,06,1,01,18,012,01,004 ,A,000121,0000000
07,1999,06,1,01,18,012,01,004 ,A,000130,0000000
07,1999,06,1,01,18,012,01,004 ,B,000007,0000000
07,1999,06,1,01,18,003,01,004 ,A,000136,0000000
07,1999,06,1,01,18,003,01,004 ,B,000148,0000000
07,1999,06,1,01,18,003,01,004 ,C,000001,0000187
07,1999,06,1,01,18,003,01,004 ,C,000008,0000000
07,1999,06,1,01,18,003,01,005 ,A,000043,0000000
07,1999,06,1,01,18,003,01,005 ,A,000123,0000000
07,1999,06,1,01,18,003,01,005 ,A,000135,0000000
07,1999,06,1,01,18,003,01,005 ,A,000145,0000000
07,1999,06,1,01,18,003,01,005 ,B,000032,0000000
07,1999,06,1,01,18,003,01,006 ,A,000043,0000000
07,1999,06,1,01,18,003,01,006 ,A,000127,0000001
07,1999,06,1,01,18,003,01,006 ,A,000130,0000000
07,1999,06,1,01,18,003,01,006 ,A,000154,0000000
07,1999,06,1,01,18,003,01,006 ,B,000144,0000000
07,1999,06,1,01,18,003,01,006 ,B,000148,0000001
07,1999,06,1,01,18,004,01,001 ,A,000129,0000000
07,1999,06,1,01,18,004,01,001 ,A,000156,0000000
07,1999,06,1,01,18,004,01,001 ,B,000001,0000207
07,1999,06,1,01,18,004,01,001 ,B,000129,0000000
07,1999,06,1,01,18,004,01,001 ,B,000150,0000000
07,1999,06,1,01,18,006,01,001 ,A,000130,0000000
07,1999,06,1,01,18,006,01,001 ,A,000145,0000000
07,1999,06,1,01,18,006,01,001 ,A,000150,0000000
07,1999,06,1,01,18,006,01,001 ,B,000043,0000000
07,1999,06,1,01,18,006,01,001 ,B,000121,0000000
07,1999,06,1,01,18,006,01,001 ,B,000145,0000000
07,1999,06,1,01,18,006,01,001 ,B,000153,0000000
07,1999,06,1,01,18,006,01,002 ,U,000132,0000004
07,1999,06,1,01,18,006,02,001 ,A,000014,0000000
07,1999,06,1,01,18,006,02,001 ,A,000156,0000000
07,1999,06,1,01,18,006,02,001 ,B,000015,0000000
07,1999,06,1,01,18,006,02,001 ,B,000132,0000018
07,1999,06,1,01,18,006,02,001 ,B,000135,0000000
07,1999,06,1,01,18,006,02,001 ,B,000157,0000000
07,1999,06,1,01,18,006,02,001 ,C,000001,0000146
07,1999,06,1,01,18,006,03,001 ,U,000038,0000000
07,1999,06,1,01,18,006,03,001 ,U,000129,0000000
07,1999,06,1,01,18,006,03,001 ,U,000132,0000001
07,1999,06,1,01,18,007,01,001 ,B,000038,0000001
07,1999,06,1,01,18,007,01,001 ,B,000158,0000000
07,1999,06,1,01,18,010,01,001 ,U,000007,0000000
07,1999,06,1,01,18,010,01,001 ,U,000043,0000000
07,1999,06,1,01,18,010,01,001 ,U,000128,0000001
07,1999,06,1,01,18,010,01,001 ,U,000150,0000000
07,1999,06,1,01,18,011,01,001 ,A,000019,0000247
07,1999,06,1,01,18,011,01,001 ,A,000136,0000000
07,1999,06,1,01,18,011,01,001 ,A,000148,0000000
07,1999,06,1,01,18,011,01,001 ,A,000150,0000000
07,1999,06,1,01,18,011,01,001 ,B,000032,0000000
07,1999,06,1,01,18,011,01,001 ,B,000152,0000000
07,1999,06,1,01,18,001,01,001 ,U,000015,0000000
07,1999,06,1,01,18,001,01,001 ,U,000135,0000000
07,1999,06,1,01,18,001,01,001 ,U,000145,0000000
07,1999,06,1,01,18,001,01,001 ,U,000158,0000000
07,1999,06,1,01,18,002,01,001 ,U,000001,0000172
07,1999,06,1,01,18,002,01,001 ,U,000120,0000000
07,1999,06,1,01,18,002,01,001 ,U,000148,0000001
07,1999,06,1,01,18,003,01,001 ,A,000014,0000000
07,1999,06,1,01,18,003,01,001 ,A,000136,0000000
07,1999,06,1,01,18,003,01,001 ,B,000019,0000231
07,1999,06,1,01,18,003,01,001 ,B,000121,0000000
07,1999,06,1,01,18,003,01,001 ,B,000158,0000000
07,1999,06,1,01,18,003,01,002 ,A,000144,0000001
07,1999,06,1,01,18,003,01,002 ,A,000154,0000000
07,1999,06,1,01,18,003,01,002 ,B,000123,0000000
07,1999,06,1,01,18,003,01,002 ,B,000158,0000000
07,1999,06,1,01,18,003,01,002 ,C,000001,0000125
07,1999,06,1,01,18,003,01,002 ,C,000014,0000000
07,1999,06,1,01,18,003,01,002 ,C,000019,0000222
07,1999,06,1,01,18,003,01,002 ,C,000123,0000000
07,1999,06,1,01,18,003,01,002 ,C,000128,0000000
07,1999,06,1,01,18,003,01,003 ,B,000144,0000000
07,1999,06,1,01,18,003,01,003 ,C,000127,0000000
07,1999,06,1,01,18,003,01,004 ,A,000120,0000000
07,1999,06,1,01,18,003,01,004 ,A,000123,0000002
07,1999,06,1,01,18,003,01,004 ,A,000135,0000000
07,1999,06,1,01,18,003,01,004 ,C,000116,0000000
07,1999,06,1,01,18,003,01,004 ,C,000153,0000000
07,1999,06,1,01,18,003,01,005 ,A,000007,0000000
07,1999,06,1,01,18,003,01,005 ,A,000019,0000234
07,1999,06,1,01,18,003,01,005 ,A,000128,0000000
07,1999,06,1,01,18,003,01,005 ,B,000001,0000159
07,1999,06,1,01,18,003,01,005 ,B,000007,0000000
07,1999,06,1,01,18,003,01,005 ,B,000019,0000308
07,1999,06,1,01,18,003,01,005 ,B,000027,0000001
07,1999,06,1,01,18,003,01,005 ,B,000125,0000000
07,1999,06,1,01,18,003,01,006 ,A,000008,0000001
07,1999,06,1,01,18,003,01,006 ,A,000027,0000002
07,1999,06,1,01,18,003,01,006 ,A,000121,0000000
07,1999,06,1,01,18,003,01,006 ,A,000128,0000000
07,1999,06,1,01,18,003,01,006 ,A,000157,0000001
07,1999,06,1,01,18,003,01,006 ,B,000008,0000000
07,1999,06,1,01,18,017,01,001 ,A,000120,0000000
07,1999,06,1,01,18,017,01,001 ,A,000135,0000000
07,1999,06,1,01,18,017,01,001 ,B,000014,0000000
